symbol,priced_transfer_rows,settlement_txs,total_amount_usd,row_p50,row_p90,row_p99
sDAI,2.18529e+06,942880,9.3905075250617e+08,22.33260024882847,487.87393816446144,5001.303205531758
WXDAI,1.935768e+06,746549,8.074195932937075e+08,9.47093917016558,403.7439576051252,4836.9180097832905
USDC.e,742360,323952,6.779965881536987e+08,64.88892448940082,966.9976980975248,10721.393985364282
wstETH,1.630272e+06,707181,5.415491155602188e+08,59.85333919316758,585.5713892400338,4059.164879726702
EURe,1.008506e+06,424477,4.6547412371753424e+08,15.94973928321361,386.10801807544607,6901.882015984016
USDC,799220,348803,4.1893643579324514e+08,62.80684956335691,711.5485462809454,6578.249105871496
GNO,1.556752e+06,605046,3.4513701549175394e+08,11.665209652741641,319.93832256602207,3522.8957155900725
WETH,1.538012e+06,608533,2.90688496688498e+08,4.020142003708843,213.12488459391724,3210.352536867288
USDT,129540,58251,1.7154589690586028e+08,6.426907818109832,1048.2041522684176,40579.25043736339
xDAI,75805,46594,1.1979359680420253e+08,44.41035074999801,1790.403039000277,25000.307220899867
COW,400538,180795,4.309982223937554e+07,3.1888971763665,141.5514233170116,2499.290381683845
BRLA,85950,37215,1.926607025216323e+07,51.633975789041536,795.66470048895,1865.448436929429
OLAS,259116,127155,1.76623030519067e+07,20.56180364349982,150.76499932097155,658.1264558501082
SAFE,36194,17611,1.2949280902883835e+07,8.445467248594364,1035.311996185048,4540.684421368187
WBTC,125620,58986,1.2336450788680255e+07,21.443869267010257,229.48614445005435,993.12016222467
GYD,600,286,2.4415030084306328e+06,548.7255923541487,9572.616218567442,36747.49306265355
CRV,4505,2017,1.4421043248220775e+06,14.61601400831326,1006.0939076398869,2991.5922866651867
rETH,248,115,900220.9363240127,298.6931280731944,11403.630053231966,35615.46278099909
GIV,20013,8448,501903.59605849034,1.4961368817075669,50.20301214722587,505.61747439877047
crvUSD,5699,2729,390376.11403296614,0.07318311478218778,64.03872604152991,1406.8149125819587
EURA,2023,797,179543.64172917083,0.8824249056709178,76.13596583875328,2201.8592913702028
LINK,4686,2002,96591.55985499389,4.004961415883286,49.097028187947934,249.3283495902315
DAI,1079,454,90332.00428607051,17.04545962205063,199.08099504120645,966.9252852034155
SUSHI,116,52,4169.920727185488,1.6541952290315391,100.29162090502052,406.2039020525078
MATIC,219,103,1882.2266034441216,1.9530865335258796,16.89287407682701,122.05499922555414
stETH,135,70,1366.5741399286321,2.8923077209207673,37.31685261759062,58.532615450805416
1INCH,109,49,1050.124574006253,2.5803409538437494,33.85888969386154,84.0377808768988
BUSD,28,13,26.27899714288217,0.16529217624919337,3.667673446559709,8.774453722296938
