tx_hash,block_time,gross_transfer_notional_usd,stablecoin_transfer_notional_usd,priced_transfer_rows,symbols
0x5df881f2175ae41e30242a5d1dbdb9f20d152546755e0978ca75d02a1b063804,2025-09-02 13:06:40.000 UTC,1.7116368383614577e+07,9.117386594549656e+06,11,"sDAI, WXDAI, USDC.e"
0x6cfe73c9d5f4ef9ad4066b61b3fa29da3f2b422c95d5d0ec5f7f6c68b47b4026,2024-11-28 17:38:35.000 UTC,1.6501081330307605e+07,1.0991073645362603e+07,6,"WXDAI, xDAI, sDAI"
0x7b6a9e469f31150a593db3ca4bbe2ffb37f19a28dbe8c2bda799b7ae87fbbdf4,2024-08-13 13:08:15.000 UTC,1.193504881821425e+07,0,11,"WETH, wstETH"
0x748378f0555026a5c5c5a8289e9710d0ab6c13686d2f6f0d4c297fcf3e6cab13,2025-02-11 13:47:55.000 UTC,1.1204765780227147e+07,0,16,"WETH, wstETH"
0x9a5876d5d251fbd2f21c6d5f8b189e9f5acaf0c4ddca7ca65fbeda0595ea2814,2025-03-10 14:15:10.000 UTC,9.559772552860666e+06,5.955990452860667e+06,11,"EURe, USDC.e, sDAI"
0x34a520a9b3f7916fd5a1ebc42eaa545686686c06ea0a262fe04aa1c0509600ea,2024-07-23 10:18:10.000 UTC,9.296758170002325e+06,0,11,"wstETH, WETH"
0xfdbad8f3338882f7fb6c6a22e6138f30070d8e97391362202d3475fd43927f1d,2025-06-03 13:30:00.000 UTC,9.002045271280283e+06,4.801323310891713e+06,11,"WXDAI, sDAI, USDC.e"
0x879949e1a5ba2c4578f82ea6cd9b2536185ab6f406445fe6e861a919a7831594,2024-10-01 12:41:45.000 UTC,8.996410389401756e+06,8.996410389401756e+06,9,"EURe, WXDAI, sDAI"
0xfaa6e90968cd16d2efd634f5534e247176912145afb9c9e041ffc7b3eab4042e,2025-09-11 12:13:50.000 UTC,8.63788123752884e+06,4.599973746137051e+06,11,"WXDAI, USDC.e, sDAI"
0x9128402408ccb0eb2eb669b5159958402dac868c48da80c99e2df2800e491a8b,2025-10-09 12:28:00.000 UTC,8.551286565304235e+06,4.551899695748345e+06,11,"USDC.e, sDAI, WXDAI"
0x74e084e369935f437842d091876c95bb0ba6ee1a8143291ffefa0da672cfbd7c,2025-05-28 12:24:55.000 UTC,7.89800396017967e+06,4.495752828871157e+06,7,"USDC, sDAI, USDC.e"
0x5ef1b5e6628947e717915716ab19b0854cf134efebf7740dcacd6304e0280ddb,2025-04-22 12:37:05.000 UTC,6.903296503751643e+06,3.451648251917337e+06,4,"USDC.e, USDC"
0x9e9190b196385a7a9f854732e959df2774923e4d6fb129e79cbe31e4997f3b0c,2025-06-26 12:54:00.000 UTC,5.437164858166005e+06,3.3367134562826045e+06,14,"USDC, USDC.e, WXDAI, sDAI"
0x9c6a917b0f05d9bbd5d13673f5bc40f7aec4fdfce1b77c44a0e27ac8ed53082d,2024-08-05 15:13:50.000 UTC,5.265598298285434e+06,5.265520602424247e+06,32,"WBTC, EURe, COW, wstETH, sDAI, WETH, GNO, WXDAI"
0x7264fae563c3a6eb24d4c2f4f8e4ca814b4a2df65304178d4c200b9540a654da,2025-09-18 12:25:05.000 UTC,5.131781034655219e+06,2.7322782309112917e+06,11,"USDC.e, sDAI, WXDAI"
0x5185d35c6868e4e62a0aafa8529fa0f5a5cbe9f191769f2cf393cc0c6222843b,2025-04-30 20:01:25.000 UTC,5.082475924640579e+06,5.082475076412156e+06,13,"sDAI, WETH, EURe, WXDAI"
0xf48976b76dbb6be253c425ace6db4d77a94c8f5212f7bb501fd0e28563145e3c,2024-07-15 10:25:20.000 UTC,4.814136604675673e+06,4.814136604675673e+06,4,"sDAI, WXDAI"
0xe24cfdb0109e700dc13cb16d6853acea220c06b6f21a956341a275f4ace9b119,2025-03-10 13:11:55.000 UTC,4.778875096075447e+06,3.1775653627421134e+06,6,"EURe, USDC.e, sDAI"
0x306e90bf6299f613532695c9ca4070dcea05c800e5df1fadf66e1fbab198d474,2025-03-13 14:34:15.000 UTC,4.7737852390415305e+06,4.7737852390415305e+06,4,"WXDAI, sDAI"
0xae852f8a4934820e17762c692c435bcca6d9335a3790acdcfb69b8c1f7816598,2025-05-18 08:12:00.000 UTC,4.735846878632922e+06,2.70799461763806e+06,7,"USDC, USDC.e, EURe"
0xc41f8643a151ec524fd09fa97760f1135ca8e6eb1db00f715881b52485db45af,2024-12-20 16:49:50.000 UTC,4.663936991226556e+06,4.663936991226556e+06,11,"sDAI, EURe, USDT"
0xe353010dd4f30ac24f95b5ee8d9cf98d7fc35c8567dda18dce1f70e2384b48bf,2025-05-15 14:25:50.000 UTC,4.642553650023809e+06,3.1415025250238096e+06,13,"USDC.e, WXDAI, EURe, sDAI"
0xf1ffb00cd37f1b7d9c313e420f0a5e12fdeb0c4f9b0bcafaccde5cd5454e4d3c,2024-11-19 14:11:40.000 UTC,4.637855983291313e+06,3.0910394605533145e+06,10,"EURe, wstETH, sDAI, USDC.e"
0x3e163b794be74fdb46d6a984a89e3181f7d614c46248ee76b40b508a2046aad9,2025-01-24 13:32:55.000 UTC,4.630907220906312e+06,2.94382408409132e+06,11,"sDAI, xDAI, USDC.e, WXDAI, USDC"
0xddcd23cca27cd0febf894220631577c0f0df5a24c8bf3ef269019bb7c708b7be,2026-05-27 09:56:15.000 UTC,4.586731998001145e+06,3.2461408081552656e+06,7,"xDAI, sDAI, WXDAI"
0xe48b59c4ba463e7f9dff52d4c1b750bbc8084ef2eefda1e85b539da9297bba6f,2025-11-13 14:25:30.000 UTC,4.526608417788603e+06,2.4446589890059875e+06,11,"sDAI, USDC.e, WXDAI"
0x1b7edf7e1a52d58efbabf5d48e0ba924827c77fb75917ef2ed540f24518324a1,2025-09-18 12:19:30.000 UTC,4.50826340122565e+06,4.50826340122565e+06,9,"EURe, sDAI, WXDAI"
0x2d96dea796d678d83b308b7b231d09a447cb18771ae5df8fc80365918d2e51e2,2025-04-17 15:35:35.000 UTC,4.445144211467018e+06,2.206163400711164e+06,4,"sDAI, USDC.e"
0x1ce4feb8a6a06b34d5b42cdd460884bbfb238099004106441dd76cf9cb163cc6,2025-05-20 13:43:05.000 UTC,4.400015260230451e+06,2.3996638431635965e+06,11,"sDAI, WXDAI, USDC.e"
0xd834692961ffcf534f80a65a0daeed39485b164c85f53d44d7f3570512bf1c21,2025-10-08 10:19:35.000 UTC,4.361649666513828e+06,2.5634105090298275e+06,11,"USDC.e, WXDAI, sDAI"
