dataset_family,metric,value,unit,source_file,interpretation
transfer_join,settlement_txs,1672005,transactions,01_settlement_tx_count_summary.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
transfer_join,tx_usd_coverage,0.97935951148471446,fraction,03_transfer_join_coverage.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
dex_trades,settlement_txs,1286721,transactions,07_dex_trades_aggregate_stats.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
dex_trades,total_usd_notional_proxy,872713128.3540064,USD proxy,07_dex_trades_aggregate_stats.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
dex_trades,p50_usd,23.29761622483605,USD proxy,07_dex_trades_aggregate_stats.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
dex_trades,p90_usd,758.7585057379812,USD proxy,07_dex_trades_aggregate_stats.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
dex_trades,p95_usd,1775.9093245885115,USD proxy,07_dex_trades_aggregate_stats.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
dex_trades,p99_usd,10410.10784133416,USD proxy,07_dex_trades_aggregate_stats.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
historical_target_calibration,coverage_at_per_keyper_250_usd,0.8213638879966101,historical fraction,04_empirical_target_coverage_selected.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
historical_target_calibration,coverage_at_per_keyper_500_usd,0.8919141316456735,historical fraction,04_empirical_target_coverage_selected.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
historical_target_calibration,coverage_at_per_keyper_1000_usd,0.9372765980713109,historical fraction,04_empirical_target_coverage_selected.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
historical_target_calibration,coverage_at_per_keyper_2500_usd,0.9716772487134099,historical fraction,04_empirical_target_coverage_selected.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
historical_target_calibration,coverage_at_per_keyper_5000_usd,0.9865552191474675,historical fraction,04_empirical_target_coverage_selected.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
historical_target_calibration,coverage_at_per_keyper_7500_usd,0.9900975279700923,historical fraction,04_empirical_target_coverage_selected.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
historical_target_calibration,coverage_at_per_keyper_10000_usd,0.9927383694307566,historical fraction,04_empirical_target_coverage_selected.csv,CALIBRATION_ONLY_NOT_VALUE_CAP
